央视频道,#genre#
CCTV1,http://[2409:8087:1:20:20::27]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2$北京移动可回放#https://tv.2cf.x10.mx/2hl/3221226559/index.m3u8$黑龙江移动恢复#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctv1hd&apiKey=5f7ccf97d2f34d2aa62db101581b148a$酒店源1080P#http://58.58.111.222:808/hls/1/index.m3u8$山东淄博电信酒店#http://8.138.90.107/公众号睡眼迷离的猫/JSYD.php?p=gitv&id=G_CCTV-1-AVS-4K264&ace$移动4K代理
CCTV2,http://tv.2cf.x10.mx/2hl/3221225588/index.m3u8$黑龙江移动恢复
CCTV3,http://tv.2cf.x10.mx/2hl/3221226021/index.m3u8$黑龙江移动恢复
CCTV4,http://tv.2cf.x10.mx/2hl/3221226007/index.m3u8$黑龙江移动恢复
CCTV5,http://tv.2cf.x10.mx/2hl/3221226019/index.m3u8$黑龙江移动恢复
CCTV5,http://tv.2cf.x10.mx/2hl/3221226469/index.m3u8$黑龙江移动恢复
CCTV5+,http://tv.2cf.x10.mx/2hl/3221225603/index.m3u8$黑龙江移动恢复
CCTV6,http://tv.2cf.x10.mx/2hl/3221226010/index.m3u8$黑龙江移动恢复
CCTV7,http://tv.2cf.x10.mx/2hl/3221225733/index.m3u8$黑龙江移动恢复
CCTV8,http://tv.2cf.x10.mx/2hl/3221226008/index.m3u8$黑龙江移动恢复
CCTV9,http://tv.2cf.x10.mx/2hl/3221225734/index.m3u8$黑龙江移动恢复
CCTV10,http://tv.2cf.x10.mx/2hl/3221225730/index.m3u8$黑龙江移动恢复
CCTV11,http://tv.2cf.x10.mx/2hl/3221225597/index.m3u8$黑龙江移动恢复
CCTV12,http://tv.2cf.x10.mx/2hl/3221225731/index.m3u8$黑龙江移动恢复
